Terrain,Scanner,Workflow,GT_ID,Tree_ID,segment_id,Attribute,QC_stage,GT_value,Predicted_value,Error,Absolute_error
Easy,Single sensor,RCT,33,,7.0,DBH,Post-QC,0.596,0.4658,-0.13019999999999998,0.13019999999999998
Easy,Dual sensor,RCT,33,,7.0,DBH,Post-QC,0.596,0.468,-0.128,0.128
Easy,Hovermap,RCT,33,,8.0,DBH,Post-QC,0.596,0.4626,-0.13339999999999996,0.13339999999999996
Easy,Single sensor,3DFin,34,1.0,,DBH,Post-QC,0.5489999999999999,0.6242050083191425,0.07520500831914245,0.07520500831914245
Easy,Dual sensor,3DFin,34,1.0,,DBH,Post-QC,0.5489999999999999,0.5609607659528829,0.011960765952882868,0.011960765952882868
Easy,Hovermap,3DFin,34,1.0,,DBH,Post-QC,0.5489999999999999,0.5653729249108299,0.016372924910829978,0.016372924910829978
Easy,Single sensor,RCT,34,,8.0,DBH,Post-QC,0.5489999999999999,0.448,-0.10099999999999998,0.10099999999999998
Easy,Dual sensor,RCT,34,,8.0,DBH,Post-QC,0.5489999999999999,0.4564,-0.09259999999999996,0.09259999999999996
Easy,Hovermap,RCT,34,,9.0,DBH,Post-QC,0.5489999999999999,0.45,-0.09899999999999992,0.09899999999999992
Intermediate,Single sensor,3DFin,1,9.0,,TH,Post-QC,21.2,21.182890328962692,-0.017109671037310648,0.017109671037310648
Intermediate,Dual sensor,3DFin,1,8.0,,TH,Post-QC,21.2,21.72885372260434,0.5288537226043424,0.5288537226043424
Intermediate,Hovermap,3DFin,1,7.0,,TH,Post-QC,21.2,22.11849734642766,0.9184973464276602,0.9184973464276602
Intermediate,Single sensor,RCT,1,,14.0,TH,Post-QC,21.2,21.887,0.6869999999999976,0.6869999999999976
Intermediate,Dual sensor,RCT,1,,14.0,TH,Post-QC,21.2,21.8724,0.6723999999999997,0.6723999999999997
Intermediate,Hovermap,RCT,1,,13.0,TH,Post-QC,21.2,22.141,0.940999999999999,0.940999999999999
Intermediate,Single sensor,3DFin,1,9.0,,DBH,Post-QC,0.34,0.363078700473257,0.023078700473257,0.023078700473257
Intermediate,Dual sensor,3DFin,1,8.0,,DBH,Post-QC,0.34,0.3735414201783551,0.0335414201783551,0.0335414201783551
Intermediate,Hovermap,3DFin,1,7.0,,DBH,Post-QC,0.34,0.3869042640584272,0.04690426405842718,0.04690426405842718
Intermediate,Single sensor,RCT,1,,14.0,DBH,Post-QC,0.34,0.2764,-0.06360000000000005,0.06360000000000005
Intermediate,Dual sensor,RCT,1,,14.0,DBH,Post-QC,0.34,0.279,-0.06100000000000005,0.06100000000000005
Intermediate,Hovermap,RCT,1,,13.0,DBH,Post-QC,0.34,0.2784,-0.06160000000000005,0.06160000000000005
Intermediate,Single sensor,3DFin,2,3.0,,TH,Post-QC,20.0,19.61012291845392,-0.3898770815460786,0.3898770815460786
Intermediate,Dual sensor,3DFin,2,3.0,,TH,Post-QC,20.0,19.25304254079218,-0.7469574592078203,0.7469574592078203
Intermediate,Hovermap,3DFin,2,3.0,,TH,Post-QC,20.0,19.755345500502912,-0.2446544994970914,0.2446544994970914
Intermediate,Single sensor,RCT,2,,18.0,TH,Post-QC,20.0,21.4857,1.4857000000000014,1.4857000000000014
Intermediate,Dual sensor,RCT,2,,19.0,TH,Post-QC,20.0,21.67,1.6700000000000017,1.6700000000000017
Intermediate,Hovermap,RCT,2,,20.0,TH,Post-QC,20.0,21.6507,1.6507000000000005,1.6507000000000005
Intermediate,Single sensor,3DFin,2,3.0,,DBH,Post-QC,0.24100000000000002,0.242301583113843,0.0013015831138430134,0.0013015831138430134
Intermediate,Dual sensor,3DFin,2,3.0,,DBH,Post-QC,0.24100000000000002,0.2540414992107989,0.01304149921079889,0.01304149921079889
Intermediate,Hovermap,3DFin,2,3.0,,DBH,Post-QC,0.24100000000000002,0.2606253642373846,0.01962536423738459,0.01962536423738459
Intermediate,Single sensor,RCT,2,,18.0,DBH,Post-QC,0.241,0.2092,-0.031800000000000016,0.031800000000000016
Intermediate,Dual sensor,RCT,2,,19.0,DBH,Post-QC,0.241,0.21,-0.031000000000000024,0.031000000000000024
Intermediate,Hovermap,RCT,2,,20.0,DBH,Post-QC,0.241,0.1931,-0.047900000000000026,0.047900000000000026
Intermediate,Single sensor,3DFin,4,5.0,,DBH,Post-QC,0.263,0.3022414224265803,0.0392414224265803,0.0392414224265803
Intermediate,Dual sensor,3DFin,4,5.0,,DBH,Post-QC,0.263,0.2978457105476837,0.034845710547683706,0.034845710547683706
Intermediate,Hovermap,3DFin,4,5.0,,DBH,Post-QC,0.263,0.3015248224066374,0.038524822406637405,0.038524822406637405
Intermediate,Single sensor,RCT,4,,20.0,DBH,Post-QC,0.263,0.2616,-0.0014000000000000126,0.0014000000000000126
Intermediate,Dual sensor,RCT,4,,22.0,DBH,Post-QC,0.263,0.2618,-0.0012000000000000346,0.0012000000000000346
Intermediate,Hovermap,RCT,4,,19.0,DBH,Post-QC,0.263,0.2508,-0.012199999999999987,0.012199999999999987
Intermediate,Single sensor,3DFin,5,2.0,,DBH,Post-QC,0.332,0.3516396032509645,0.01963960325096448,0.01963960325096448
Intermediate,Dual sensor,3DFin,5,1.0,,DBH,Post-QC,0.332,0.3439134362517718,0.01191343625177177,0.01191343625177177
Intermediate,Hovermap,3DFin,5,1.0,,DBH,Post-QC,0.332,0.3561145884925231,0.02411458849252307,0.02411458849252307
Intermediate,Single sensor,RCT,5,,22.0,DBH,Post-QC,0.332,0.3078,-0.0242,0.0242
Intermediate,Dual sensor,RCT,5,,23.0,DBH,Post-QC,0.332,0.3094,-0.02260000000000001,0.02260000000000001
Intermediate,Hovermap,RCT,5,,22.0,DBH,Post-QC,0.332,0.3024,-0.02960000000000001,0.02960000000000001
Intermediate,Single sensor,3DFin,8,8.0,,DBH,Post-QC,0.21600000000000003,0.2295857660168652,0.013585766016865205,0.013585766016865205
Intermediate,Dual sensor,3DFin,8,9.0,,DBH,Post-QC,0.21600000000000003,0.2316994504843179,0.0156994504843179,0.0156994504843179
Intermediate,Hovermap,3DFin,8,9.0,,DBH,Post-QC,0.21600000000000003,0.2519966250785265,0.035996625078526495,0.035996625078526495
Intermediate,Single sensor,RCT,8,,17.0,DBH,Post-QC,0.21600000000000005,0.1878,-0.02820000000000003,0.02820000000000003
Intermediate,Dual sensor,RCT,8,,18.0,DBH,Post-QC,0.21600000000000005,0.1908,-0.025200000000000028,0.025200000000000028
Intermediate,Hovermap,RCT,8,,17.0,DBH,Post-QC,0.21600000000000005,0.1894,-0.026600000000000013,0.026600000000000013
Intermediate,Single sensor,3DFin,9,11.0,,TH,Post-QC,21.0,20.488281704949948,-0.5117182950500485,0.5117182950500485
Intermediate,Dual sensor,3DFin,9,12.0,,TH,Post-QC,21.0,21.33132282707506,0.3313228270750592,0.3313228270750592
Intermediate,Hovermap,3DFin,9,11.0,,TH,Post-QC,21.0,21.362353568086327,0.36235356808633057,0.36235356808633057
Intermediate,Single sensor,RCT,9,,16.0,TH,Post-QC,21.0,21.9188,0.9188000000000011,0.9188000000000011
Intermediate,Dual sensor,RCT,9,,17.0,TH,Post-QC,21.0,21.854,0.8539999999999992,0.8539999999999992
Intermediate,Hovermap,RCT,9,,16.0,TH,Post-QC,21.0,21.7834,0.7834000000000003,0.7834000000000003
Intermediate,Single sensor,3DFin,9,11.0,,DBH,Post-QC,0.28600000000000003,0.3057538516648374,0.0197538516648374,0.0197538516648374
Intermediate,Dual sensor,3DFin,9,12.0,,DBH,Post-QC,0.28600000000000003,0.30548342336925605,0.01948342336925601,0.01948342336925601
Intermediate,Hovermap,3DFin,9,11.0,,DBH,Post-QC,0.28600000000000003,0.3020433718689703,0.016043371868970313,0.016043371868970313
Intermediate,Single sensor,RCT,9,,16.0,DBH,Post-QC,0.28600000000000003,0.294,0.007999999999999952,0.007999999999999952
