Terrain,Scanner,segment_id,GT_ID,GT_TH,before_TH,after_TH,before_TH_error,after_TH_error,before_TH_abs_error,after_TH_abs_error,TH_delta_abs_error,GT_DBH,before_DBH,after_DBH,before_DBH_error,after_DBH_error,before_DBH_abs_error,after_DBH_abs_error,DBH_delta_abs_error,attribute_value_source,source_clean_file
Intermediate,Single sensor,0,25,18.3,20.9365,20.9365,2.636499999999998,2.636499999999998,2.636499999999998,2.636499999999998,0.0,0.258,0.2358,0.2358,-0.022199999999999998,-0.022199999999999998,0.022199999999999998,0.022199999999999998,0.0,original,
Intermediate,Single sensor,2,26,17.3,19.1381,19.1381,1.8381000000000007,1.8381000000000007,1.8381000000000007,1.8381000000000007,0.0,0.267,0.2422,0.2422,-0.024800000000000016,-0.024800000000000016,0.024800000000000016,0.024800000000000016,0.0,original,
Intermediate,Single sensor,15,27,21.2,21.5809,21.5809,0.38090000000000046,0.38090000000000046,0.38090000000000046,0.38090000000000046,0.0,0.325,0.307,0.307,-0.018000000000000016,-0.018000000000000016,0.018000000000000016,0.018000000000000016,0.0,original,
Intermediate,Single sensor,9,28,19.8,20.44,20.44,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.0,0.263,0.2358,0.2358,-0.027200000000000002,-0.027200000000000002,0.027200000000000002,0.027200000000000002,0.0,original,
Intermediate,Single sensor,7,29,17.2,19.8533,20.6991,2.6533000000000015,3.499100000000002,2.6533000000000015,3.499100000000002,0.8458000000000006,0.212,0.1814,0.2148,-0.03059999999999999,0.002799999999999997,0.03059999999999999,0.002799999999999997,-0.02779999999999999,cleaned,INT_J_7_GT29_clean.ply
Intermediate,Single sensor,23,30,19.4,19.8337,19.8337,0.43370000000000175,0.43370000000000175,0.43370000000000175,0.43370000000000175,0.0,0.191,0.1636,0.1636,-0.027400000000000008,-0.027400000000000008,0.027400000000000008,0.027400000000000008,0.0,original,
Intermediate,Single sensor,12,34,22.8,22.7669,22.7669,-0.03310000000000102,-0.03310000000000102,0.03310000000000102,0.03310000000000102,0.0,0.365,0.3044,0.3044,-0.06059999999999999,-0.06059999999999999,0.06059999999999999,0.06059999999999999,0.0,original,
Intermediate,Dual sensor,14,1,21.2,21.8724,21.8724,0.6723999999999997,0.6723999999999997,0.6723999999999997,0.6723999999999997,0.0,0.34,0.27899999999999997,0.27899999999999997,-0.061000000000000054,-0.061000000000000054,0.061000000000000054,0.061000000000000054,0.0,original,
Intermediate,Dual sensor,19,2,20.0,21.67,21.67,1.6700000000000017,1.6700000000000017,1.6700000000000017,1.6700000000000017,0.0,0.24100000000000002,0.21,0.21,-0.031000000000000028,-0.031000000000000028,0.031000000000000028,0.031000000000000028,0.0,original,
Intermediate,Dual sensor,22,4,21.0,22.0986,22.0986,1.0986000000000011,1.0986000000000011,1.0986000000000011,1.0986000000000011,0.0,0.263,0.2618,0.2618,-0.0012000000000000344,-0.0012000000000000344,0.0012000000000000344,0.0012000000000000344,0.0,original,
Intermediate,Dual sensor,23,5,21.5,22.5083,22.5083,1.0082999999999984,1.0082999999999984,1.0082999999999984,1.0082999999999984,0.0,0.332,0.3094,0.3094,-0.02260000000000001,-0.02260000000000001,0.02260000000000001,0.02260000000000001,0.0,original,
Intermediate,Dual sensor,18,8,20.4,21.4271,21.4271,1.0271000000000008,1.0271000000000008,1.0271000000000008,1.0271000000000008,0.0,0.21600000000000003,0.1908,0.1908,-0.025200000000000028,-0.025200000000000028,0.025200000000000028,0.025200000000000028,0.0,original,
Intermediate,Dual sensor,17,9,21.0,21.854,21.854,0.8539999999999992,0.8539999999999992,0.8539999999999992,0.8539999999999992,0.0,0.28600000000000003,0.2732,0.2732,-0.012800000000000034,-0.012800000000000034,0.012800000000000034,0.012800000000000034,0.0,original,
Intermediate,Dual sensor,20,11,22.0,23.1155,23.1155,1.1155000000000008,1.1155000000000008,1.1155000000000008,1.1155000000000008,0.0,0.20600000000000002,0.1912,0.1912,-0.014800000000000008,-0.014800000000000008,0.014800000000000008,0.014800000000000008,0.0,original,
Intermediate,Dual sensor,16,14,19.5,22.0611,20.4272,2.5610999999999997,0.9271999999999991,2.5610999999999997,0.9271999999999991,-1.6339000000000006,0.233,0.20800000000000002,0.2354,-0.024999999999999994,0.0023999999999999855,0.024999999999999994,0.0023999999999999855,-0.02260000000000001,cleaned,INT_D_16_GT14_clean.ply
Intermediate,Dual sensor,12,15,19.8,21.7416,19.8641,1.9415999999999976,0.06409999999999982,1.9415999999999976,0.06409999999999982,-1.8774999999999977,0.257,0.2056,0.2452,-0.0514,-0.011800000000000005,0.0514,0.011800000000000005,-0.039599999999999996,cleaned,INT_D_12_GT15_clean.ply
