Terrain,Scanner,GT_ID,Tree_ID,Attribute,Stage,GT_value,Predicted_value,Error,Absolute_error,ID_confidence,TH_validated
Intermediate,Single sensor,29,13,TH,Pre-TH-QC,17.2,19.77171537235589,2.5717153723558894,2.5717153723558894,HIGH,False
Intermediate,Single sensor,29,13,DBH,Pre-TH-QC,0.212,0.2312378499242269,0.01923784992422692,0.01923784992422692,HIGH,
Intermediate,Single sensor,29,13,DBH,Post-QC,0.212,0.2312378499242269,0.01923784992422692,0.01923784992422692,HIGH,
Intermediate,Dual sensor,29,13,TH,Pre-TH-QC,17.2,19.76579855746156,2.5657985574615623,2.5657985574615623,HIGH,False
Intermediate,Dual sensor,29,13,DBH,Pre-TH-QC,0.212,0.2124467835182234,0.0004467835182234148,0.0004467835182234148,HIGH,
Intermediate,Dual sensor,29,13,DBH,Post-QC,0.212,0.2124467835182234,0.0004467835182234148,0.0004467835182234148,HIGH,
Intermediate,Hovermap,29,13,TH,Pre-TH-QC,17.2,20.5153307142921,3.3153307142921022,3.3153307142921022,HIGH,False
Intermediate,Hovermap,29,13,DBH,Pre-TH-QC,0.212,0.2291482119469066,0.017148211946906605,0.017148211946906605,HIGH,
Intermediate,Hovermap,29,13,DBH,Post-QC,0.212,0.2291482119469066,0.017148211946906605,0.017148211946906605,HIGH,
Intermediate,Single sensor,30,12,TH,Pre-TH-QC,19.4,19.33240460239227,-0.06759539760772881,0.06759539760772881,HIGH,True
Intermediate,Single sensor,30,12,TH,Post-QC,19.4,19.33240460239227,-0.06759539760772881,0.06759539760772881,HIGH,True
Intermediate,Single sensor,30,12,DBH,Pre-TH-QC,0.191,0.1937320532928697,0.002732053292869685,0.002732053292869685,HIGH,
Intermediate,Single sensor,30,12,DBH,Post-QC,0.191,0.1937320532928697,0.002732053292869685,0.002732053292869685,HIGH,
Intermediate,Dual sensor,30,11,TH,Pre-TH-QC,19.4,19.76307195370955,0.36307195370955014,0.36307195370955014,HIGH,True
Intermediate,Dual sensor,30,11,TH,Post-QC,19.4,19.76307195370955,0.36307195370955014,0.36307195370955014,HIGH,True
Intermediate,Dual sensor,30,11,DBH,Pre-TH-QC,0.191,0.2013250476333976,0.010325047633397588,0.010325047633397588,HIGH,
Intermediate,Dual sensor,30,11,DBH,Post-QC,0.191,0.2013250476333976,0.010325047633397588,0.010325047633397588,HIGH,
Intermediate,Hovermap,30,12,TH,Pre-TH-QC,19.4,19.984896913197,0.584896913197003,0.584896913197003,HIGH,True
Intermediate,Hovermap,30,12,TH,Post-QC,19.4,19.984896913197,0.584896913197003,0.584896913197003,HIGH,True
Intermediate,Hovermap,30,12,DBH,Pre-TH-QC,0.191,0.2002288647686983,0.009228864768698303,0.009228864768698303,HIGH,
Intermediate,Hovermap,30,12,DBH,Post-QC,0.191,0.2002288647686983,0.009228864768698303,0.009228864768698303,HIGH,
Intermediate,Single sensor,34,1,TH,Pre-TH-QC,22.8,21.99074681254828,-0.8092531874517199,0.8092531874517199,HIGH,True
Intermediate,Single sensor,34,1,TH,Post-QC,22.8,21.99074681254828,-0.8092531874517199,0.8092531874517199,HIGH,True
Intermediate,Single sensor,34,1,DBH,Pre-TH-QC,0.365,0.3764075692177261,0.011407569217726121,0.011407569217726121,HIGH,
Intermediate,Single sensor,34,1,DBH,Post-QC,0.365,0.3764075692177261,0.011407569217726121,0.011407569217726121,HIGH,
Intermediate,Dual sensor,34,2,TH,Pre-TH-QC,22.8,22.46790159352364,-0.33209840647636213,0.33209840647636213,HIGH,True
Intermediate,Dual sensor,34,2,TH,Post-QC,22.8,22.46790159352364,-0.33209840647636213,0.33209840647636213,HIGH,True
Intermediate,Dual sensor,34,2,DBH,Pre-TH-QC,0.365,0.3802873862914099,0.01528738629140991,0.01528738629140991,HIGH,
Intermediate,Dual sensor,34,2,DBH,Post-QC,0.365,0.3802873862914099,0.01528738629140991,0.01528738629140991,HIGH,
Intermediate,Hovermap,34,2,TH,Pre-TH-QC,22.8,22.15147737752901,-0.6485226224709919,0.6485226224709919,HIGH,True
Intermediate,Hovermap,34,2,TH,Post-QC,22.8,22.15147737752901,-0.6485226224709919,0.6485226224709919,HIGH,True
Intermediate,Hovermap,34,2,DBH,Pre-TH-QC,0.365,0.3786722579418879,0.013672257941887922,0.013672257941887922,HIGH,
Intermediate,Hovermap,34,2,DBH,Post-QC,0.365,0.3786722579418879,0.013672257941887922,0.013672257941887922,HIGH,
Challenging,Single sensor,1,25,TH,Pre-TH-QC,26.6,25.55371180085649,-1.0462881991435111,1.0462881991435111,HIGH,False
Challenging,Single sensor,1,25,DBH,Pre-TH-QC,0.379,0.3929851270244376,0.013985127024437605,0.013985127024437605,HIGH,
Challenging,Single sensor,1,25,DBH,Post-QC,0.379,0.3929851270244376,0.013985127024437605,0.013985127024437605,HIGH,
Challenging,Dual sensor,1,29,TH,Pre-TH-QC,26.6,24.59788706440515,-2.0021129355948517,2.0021129355948517,HIGH,False
Challenging,Dual sensor,1,29,DBH,Pre-TH-QC,0.379,0.384362910674294,0.005362910674294008,0.005362910674294008,HIGH,
Challenging,Dual sensor,1,29,DBH,Post-QC,0.379,0.384362910674294,0.005362910674294008,0.005362910674294008,HIGH,
Challenging,Hovermap,1,29,TH,Pre-TH-QC,26.6,25.4887526890112,-1.1112473109888015,1.1112473109888015,HIGH,False
Challenging,Hovermap,1,29,DBH,Pre-TH-QC,0.379,0.392807445786166,0.013807445786165995,0.013807445786165995,HIGH,
Challenging,Hovermap,1,29,DBH,Post-QC,0.379,0.392807445786166,0.013807445786165995,0.013807445786165995,HIGH,
Challenging,Single sensor,2,26,TH,Pre-TH-QC,26.4,25.95295623442875,-0.44704376557124803,0.44704376557124803,HIGH,True
Challenging,Single sensor,2,26,TH,Post-QC,26.4,25.95295623442875,-0.44704376557124803,0.44704376557124803,HIGH,True
Challenging,Single sensor,2,26,DBH,Pre-TH-QC,0.31,0.3393729580839066,0.02937295808390661,0.02937295808390661,HIGH,
Challenging,Single sensor,2,26,DBH,Post-QC,0.31,0.3393729580839066,0.02937295808390661,0.02937295808390661,HIGH,
Challenging,Dual sensor,2,28,TH,Pre-TH-QC,26.4,26.43828381721548,0.038283817215482685,0.038283817215482685,HIGH,True
Challenging,Dual sensor,2,28,TH,Post-QC,26.4,26.43828381721548,0.038283817215482685,0.038283817215482685,HIGH,True
Challenging,Dual sensor,2,28,DBH,Pre-TH-QC,0.31,0.3354227495196103,0.02542274951961032,0.02542274951961032,HIGH,
Challenging,Dual sensor,2,28,DBH,Post-QC,0.31,0.3354227495196103,0.02542274951961032,0.02542274951961032,HIGH,
Challenging,Hovermap,2,28,TH,Pre-TH-QC,26.4,26.5562746484044,0.15627464840440197,0.15627464840440197,HIGH,True
